question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参与本项调查。点击<strong>下一步</strong>开始。	0	1		
instruction	以下是一些可能适用或不适用于您的特征。例如，您是否同意自己是一个喜欢与他人共度时光的人？请在每个陈述旁选择一个数字，以表明您同意或不同意该陈述的程度。	0	2		
radio	我是一个<strong>健谈的</strong>人	1	3	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>倾向于挑剔他人</strong>的人	1	3	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	5,4,3,2,1
radio	我是一个<strong>做事彻底</strong>的人	1	3	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>抑郁、沮丧</strong>的人	1	3	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>有原创性、能想出新点子</strong>的人	1	3	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>内向的</strong>人	1	3	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	5,4,3,2,1
radio	我是一个<strong>乐于助人、对他人无私</strong>的人	1	3	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>有时会粗心</strong>的人	1	4	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	5,4,3,2,1
radio	我是一个<strong>放松、善于处理压力</strong>的人	1	4	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	5,4,3,2,1
radio	我是一个<strong>对许多不同事物都好奇</strong>的人	1	4	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>充满活力</strong>的人	1	4	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>容易与他人发生争吵</strong>的人	1	4	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	5,4,3,2,1
radio	我是一个<strong>可靠的工作者</strong>	1	4	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>可能会紧张</strong>的人	1	4	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>想法独特、思考深入</strong>的人	1	5	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>能激发很多热情</strong>的人	1	5	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>容易原谅他人</strong>的人	1	5	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>做事没有条理</strong>的人	1	5	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	5,4,3,2,1
radio	我是一个<strong>经常担心</strong>的人	1	5	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>想象力丰富</strong>的人	1	5	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>较为安静</strong>的人	1	5	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	5,4,3,2,1
radio	我是一个<strong>一般较为信任他人</strong>的人	1	6	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>倾向于懒惰</strong>的人	1	6	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	5,4,3,2,1
radio	我是一个<strong>情绪稳定、不容易烦躁</strong>的人	1	6	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	5,4,3,2,1
radio	我是一个<strong>富有创造力</strong>的人	1	6	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>性格果断</strong>的人	1	6	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>可能冷漠、疏远</strong>的人	1	6	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	5,4,3,2,1
radio	我是一个<strong>坚持不懈直到任务完成</strong>的人	1	6	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
radio	我是一个<strong>情绪可能反复无常</strong>的人	1	7	非常不同意: 1,有点不同意: 2,既不同意也不反对: 3,有点同意: 4,非常同意: 5	1,2,3,4,5
