question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加此项调查。点击<strong>下一页</strong>开始。	0	1		
instruction	对于所有问题，请从以下选项中选择一个	0	2		
radio	我经常发现自己很迷茫，不知道该做什么。	1	3	非常同意: 1, 2, 3, 4, 非常不同意: 5	1,2,3,4,5
radio	我发现很难自娱自乐。	1	3	非常同意: 1, 2, 3, 4, 非常不同意: 5	1,2,3,4,5
radio	我必须做的很多事情都是重复和单调的。	1	3	非常同意: 1, 2, 3, 4, 非常不同意: 5	1,2,3,4,5
radio	相比大多数人，我需要更多的刺激才能变得有动力。	1	3	非常同意: 1, 2, 3, 4, 非常不同意: 5	1,2,3,4,5
radio	我对自己做的大多数事情都感觉不到动力。	1	3	非常同意: 1, 2, 3, 4, 非常不同意: 5	1,2,3,4,5
radio	在大多数情况下，我很难找到能让我保持兴趣的事情去做或去看。	1	3	非常同意: 1, 2, 3, 4, 非常不同意: 5	1,2,3,4,5
radio	大部分时间里，我只是坐着什么都不做。	1	3	非常同意: 1, 2, 3, 4, 非常不同意: 5	1,2,3,4,5
radio	除非我在做一些刺激的事情，甚至是危险的事情，否则我感觉半死不活、很迟钝。	1	3	非常同意: 1, 2, 3, 4, 非常不同意: 5	1,2,3,4,5
instruction	恭喜您完成了此次调查！点击<strong>完成</strong>继续。	0	4		
