question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加这项调查。点击<strong>下一步</strong>开始。	0	1		
instruction	对于所有问题，请选择以下选项之一	0	2		
radio	我能够一次又一次地、新鲜而天真地欣赏生活中的基本美好，带着敬畏、快乐、惊奇甚至狂喜，尽管这些体验对其他人来说可能已经变得陈旧。	1	3	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	每次我看到日落，它看起来都同样美丽。	1	3	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	无论我遇到多少次生活中的美好，我经常对此感到感激。	1	3	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我接受自己的所有方面，包括我的缺点。	1	3	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我接受自己所有的怪癖和欲望，不感到羞耻或歉意。	1	3	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我对人们及他们独特的怪癖和欲望有着无条件的接受。	1	3	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	即使在不体面的环境和情况下，我也能保持自己的尊严和正直。	1	4	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	即使在挑战我核心价值观的环境中，我也能坚持我的核心价值观。	1	4	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我为自己的行为负责。	1	4	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	对于那些似乎困扰大多数人的事情，我往往能保持平静和镇定。	1	4	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	面对困难、打击、匮乏和挫折时，我相对稳定。	1	4	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我倾向于优雅、接纳和平静地面对生活中不可避免的起起落落。	1	4	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我感到有重大的责任和义务去完成人生中的一个特定使命。	1	5	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我感觉好像在这一生中有一些重要的任务要完成。	1	5	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我有一个人生目标，它将有助于人类的福祉。	1	5	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我经常对现实有清晰的感知。	1	5	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我总是努力去发现关于人和自然的真相。	1	5	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我努力尽可能接近世界的真实面貌。	1	5	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我对所有人类都有深深的认同感。	1	6	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我对所有人类都感到强烈的同情和关爱。	1	6	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我有真诚的愿望去帮助人类。	1	6	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我经常有这样的体验：感到新的视野和可能性为自己和他人打开。	1	6	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我经常有这样的体验：感到深刻地超越了自己的私人关切。	1	6	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我经常有这样的体验：感到与这个星球上的所有人和事物融为一体。	1	6	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我相信自己的道德决定，而不需要过多的思考。	1	7	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	在日常生活中，我有强烈的是非观念。	1	7	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	当我做错事时，我能够立即从"内心深处"察觉到。	1	7	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我有一种普遍的创造精神，它触及我所做的每一件事。	1	7	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我对所有的工作都带着普遍的创造态度。	1	7	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
radio	我经常与自己孩童般的自发性保持联系。	1	7	非常不同意: 1, 2, 3, 4, 非常同意: 5	1,2,3,4,5
instruction	恭喜您完成这项调查！点击<strong>完成</strong>继续。	0	8		
