question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加此调查。请按<strong>下一步</strong>开始。	0	1		
instruction	以下问题询问过去10年中是否发生过不同的事件。请对每一项选择"是"或"否"。	0	2		
radio	租过电影。	1	1	是: 1,否: 2	1,2
radio	归还租来的电影但完全没有观看。	1	1	是: 1,否: 2	1,2
radio	购买过新衣服或鞋子。	1	1	是: 1,否: 2	1,2
radio	购买过从未穿过的新衣服或鞋子。	1	1	是: 1,否: 2	1,2
radio	去购买食物或杂货。	1	1	是: 1,否: 2	1,2
radio	因为食物或杂货变坏而扔掉了购买的物品。	1	1	是: 1,否: 2	1,2
radio	自己洗衣服。	1	1	是: 1,否: 2	1,2
radio	因为没有按照标签上的洗涤说明而毁坏了衣服。	1	1	是: 1,否: 2	1,2
radio	在任何类型的学校注册入学。	1	1	是: 1,否: 2	1,2
radio	因任何原因被学校停学至少一天。	1	1	是: 1,否: 2	1,2
radio	有任何类型的工作。	1	2	是: 1,否: 2	1,2
radio	工作一周后辞职。	1	2	是: 1,否: 2	1,2
radio	有驾驶执照。	1	2	是: 1,否: 2	1,2
radio	驾驶执照被警察吊销。	1	2	是: 1,否: 2	1,2
radio	开过车。	1	2	是: 1,否: 2	1,2
radio	在开车时被指控造成车祸。	1	2	是: 1,否: 2	1,2
radio	收到超过5张停车罚单。	1	2	是: 1,否: 2	1,2
radio	收到超过5张超速罚单。	1	2	是: 1,否: 2	1,2
radio	开车时迷路或走错路超过10分钟。	1	2	是: 1,否: 2	1,2
radio	把钥匙锁在车里。	1	2	是: 1,否: 2	1,2
radio	购买过任何类型的汽车。	1	3	是: 1,否: 2	1,2
radio	不得不花费至少500美元修理拥有不到半年的汽车。	1	3	是: 1,否: 2	1,2
radio	乘坐飞机旅行。	1	3	是: 1,否: 2	1,2
radio	错过航班。	1	3	是: 1,否: 2	1,2
radio	乘坐火车或公共汽车。	1	3	是: 1,否: 2	1,2
radio	坐错火车或公共汽车。	1	3	是: 1,否: 2	1,2
radio	拥有任何形式的身份证件（驾驶执照、护照、出生证明）。	1	3	是: 1,否: 2	1,2
radio	因为遗失而重新办理身份证件。	1	3	是: 1,否: 2	1,2
radio	住在出租公寓或其他租赁物业。	1	3	是: 1,否: 2	1,2
radio	在租约到期前被逐出公寓或租赁物业。	1	3	是: 1,否: 2	1,2
radio	携带过家门钥匙。	1	4	是: 1,否: 2	1,2
radio	因为遗失而重新配制家门钥匙。	1	4	是: 1,否: 2	1,2
radio	把自己锁在家门外。	1	4	是: 1,否: 2	1,2
radio	负责过电费、有线电视费、天然气费或水费的支付。	1	4	是: 1,否: 2	1,2
radio	因未按时付款而被断电、断网、断气或断水。	1	4	是: 1,否: 2	1,2
radio	负责过抵押贷款或其他贷款。	1	4	是: 1,否: 2	1,2
radio	抵押贷款或其他贷款被止赎。	1	4	是: 1,否: 2	1,2
radio	负责过房租或抵押贷款支付。	1	4	是: 1,否: 2	1,2
radio	房租或抵押贷款支付延迟至少2周 在过去10年中，您是否曾经…	1	4	是: 1,否: 2	1,2
radio	使用过支票。	1	5	是: 1,否: 2	1,2
radio	支票被退回。	1	5	是: 1,否: 2	1,2
radio	有过信用卡。	1	5	是: 1,否: 2	1,2
radio	信用卡债务超过5000美元。	1	5	是: 1,否: 2	1,2
radio	投资过股票市场。	1	5	是: 1,否: 2	1,2
radio	在股票市场投资中损失超过1000美元。	1	5	是: 1,否: 2	1,2
radio	去过酒吧、餐厅或酒店。	1	5	是: 1,否: 2	1,2
radio	被酒吧、餐厅或酒店的工作人员赶出。	1	5	是: 1,否: 2	1,2
radio	借给某人超过50美元。	1	5	是: 1,否: 2	1,2
radio	借给某人超过50美元但从未收回。	1	5	是: 1,否: 2	1,2
radio	有过持续至少1年的恋爱关系。	1	6	是: 1,否: 2	1,2
radio	在1年的恋爱关系中与他人发生性关系而背叛伴侣。	1	6	是: 1,否: 2	1,2
radio	结过婚。	1	6	是: 1,否: 2	1,2
radio	离过婚。	1	6	是: 1,否: 2	1,2
radio	发生过性行为。	1	6	是: 1,否: 2	1,2
radio	被诊断患有性传播疾病。	1	6	是: 1,否: 2	1,2
radio	意外怀孕（或让他人意外怀孕）。	1	6	是: 1,否: 2	1,2
radio	使用安全套发生性行为。	1	6	是: 1,否: 2	1,2
radio	安全套破裂、撕裂或滑落。	1	6	是: 1,否: 2	1,2
radio	饮用过酒精饮料。	1	7	是: 1,否: 2	1,2
radio	饮酒过量导致呕吐。	1	7	是: 1,否: 2	1,2
radio	因酒后驾驶收到DUI（酒驾）处罚。	1	7	是: 1,否: 2	1,2
radio	在阳光下暴晒。	1	7	是: 1,否: 2	1,2
radio	因日晒而起水疱。	1	7	是: 1,否: 2	1,2
radio	因任何原因在监狱牢房过夜。	1	7	是: 1,否: 2	1,2
radio	在公共场所打架或大声争吵。	1	7	是: 1,否: 2	1,2
radio	宣布破产。	1	7	是: 1,否: 2	1,2
radio	忘记亲近的人的生日，直到第二天或更晚才意识到。	1	7	是: 1,否: 2	1,2
radio	被诊断患有2型糖尿病。	1	7	是: 1,否: 2	1,2
radio	因跌倒、滑倒或失足而骨折。	1	7	是: 1,否: 2	1,2
instruction	恭喜您完成此调查！请按<strong>完成</strong>继续。	0	8		
