question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加此调查。按<strong>下一步</strong>开始。	0	1		
instruction	请回答以下关于您人口统计信息的问题。	0	2		
radio	您的性别是？	1	3	男性,女性	0,1
numeric	您今年多少岁？	1	3		
checkbox	您的种族是？	1	3	白人,美洲印第安人或阿拉斯加原住民,中国人,日本人,菲律宾人,韩国人,印度人,越南人,其他亚洲人,黑人或非裔美国人,中东或北非人,夏威夷原住民或其他太平洋岛民,其他,选择不回答	
textfield	如果您选择了“其他”种族背景，您如何描述它？	0	3		
radio	您是否具有西班牙裔、拉丁裔或西班牙起源？	1	3	是,否	1,0
radio	您完成的最高教育程度是？	1	3	未完成高中,高中/同等学力证书,大学部分学业,学士学位,硕士学位,高级研究生学业或博士学位	1,2,3,4,5,6
numeric	您的身高是多少（单位：厘米）？	1	3		
numeric	您的体重是多少（单位：公斤）？	1	3		
radio	您的婚姻状态是？	1	3	单身,已婚,有稳定恋人关系	1,2,3
radio	您离过几次婚？	1	3	0次,1次,2次,3次,4次,5次,更多	0,1,2,3,4,5,6
numeric	您最长的恋爱关系持续了多久（单位：月）？	1	3		
radio	您有过几段恋爱关系？	1	3	0段,1段,2段,3段,4段,5-10段,超过10段	1,2,3,4,5,6,7
radio	您有几个孩子？	1	3	0个,1个,2个,3个,4个,5-10个,超过10个	1,2,3,4,5,6,7
numeric	您家庭的年收入是多少（人民币）？	1	4		
radio	您是否有退休账户？	1	4	是,否	1,2
numeric	如果您有退休账户，股票所占的百分比是多少？	0	4	<10%, 10-20%,20-30%,30-40%,40-50%,60-70%,70-80%,80-90%,>90%	1,2,3,4,5,6,7,8
radio	您是租房还是有房？	1	4	租房,有房	1,2
radio	您有多少房贷债务？	1	4	<3000元,3000-15000元,15000-60000元,60000-150000元,150000-300000元,300000-600000元,600000-1200000元,>1200000元,不愿透露	1,2,3,4,5,6,7,8,0
radio	您有多少与车辆相关的债务？	1	4	<3000元,3000-15000元,15000-60000元,60000-150000元,150000-300000元,300000-600000元,600000-1200000元,>1200000元,不愿透露	1,2,3,4,5,6,7,8,0
radio	您有多少教育债务？	1	4	<3000元,3000-15000元,15000-60000元,60000-150000元,150000-300000元,300000-600000元,600000-1200000元,>1200000元,不愿透露	1,2,3,4,5,6,7,8,0
radio	您有多少信用卡债务？	1	4	<3000元,3000-15000元,15000-60000元,60000-150000元,150000-300000元,300000-600000元,600000-1200000元,>1200000元,不愿透露	1,2,3,4,5,6,7,8,0
textfield	请列出您拥有的其他债务来源：	0	4		
radio	如果您列出了其他债务来源，您有多少债务？	0	4	<3000元,3000-15000元,15000-60000元,60000-150000元,150000-300000元,300000-600000元,600000-1200000元,>1200000元,不愿透露	1,2,3,4,5,6,7,8,0
numeric	您平均每天喝多少杯咖啡？	1	5		
numeric	您平均每天喝多少杯茶？	1	5		
numeric	您平均每天喝多少罐含咖啡因的汽水？	1	5		
numeric	您每天从其他源获取的咖啡因摄入量是多少（毫克）？	1	5		
radio	您是否认为自己有赌博问题？	1	5	没有,过去有但现在没有,有	0,1,2
radio	您在过去一年中获得了多少张交通罚单？	1	5	0张,1张,2张,3张,4张,5-10张,超过10张	1,2,3,4,5,6,7
radio	您一生中遇到过多少次交通事故？	1	5	0次,1次,2次,3次,4次,5-10次,超过10次	1,2,3,4,5,6,7
radio	您一生中因非法活动被逮捕和/或起诉过多少次？	1	5	0次,1次,2次,3次,4次,5-10次,超过10次	1,2,3,4,5,6,7
checkbox	您参与此实验的动机是什么？	1	5	金钱,任务很有趣,想为研究做贡献,其他	1,2,3,4
textfield	如果您有其他动机，请列出。	0	5		
instruction	恭喜您完成了此调查！按<strong>完成</strong>继续。	0	6		
