question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参与此问卷调查。请点击<strong>下一步</strong>开始。	0	1		
instruction	请阅读每个陈述，并圈出0、1、2或3这四个数字中的一个，表示该陈述在过去一周内对您的适用程度。没有对错之分，请不要在任何一个陈述上花费太多时间。	0	2		
radio	我发现自己难以放松下来。 	1	3	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我觉察到口干。	1	3	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我似乎完全体验不到任何积极的感受。	1	3	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我呼吸困雾（例如：在没有体力消耗的情况下呼吸过快、气短）	1	3	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我发现自己难以鼓起干劲去做事情。 	1	3	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我倾向于对各种情况反应过度。	1	3	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我颤抖（例如手部颤抖）	1	4	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我感觉自己耗费了大量的精神力。	1	4	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我担心可能出现恐慌并让自己出丑的情况。	1	4	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我感觉没有什么可期待的。	1	4	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我发现自己变得烦躁不安	1	4	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我发现自己难以放松。	1	4	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我感到沉丧和忧郁。 	1	5	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我无法容忍任何阻碍我继续正在做的事情的因素。	1	5	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我感觉自己接近恐慌状态。	1	5	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我无法对任何事情产生热情。	1	5	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我感觉作为一个人我没有多少价值。 	1	5	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我感觉自己相当敏感易怒。	1	6	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	在没有体力消耗的情况下我能感觉到心脏的活动（例如感到心率加快、心跳漏跳）。	1	6	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我无缘无故地感到害怕。	1	6	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
radio	我觉得生活毫无意义。	1	6	完全不符合:0, 有时符合或在某种程度上符合:1, 相当符合或大部分时间符合: 2, 非常符合或几乎总是符合: 3	0,1,2,3
instruction	恭喜您完成了此问卷调查！请点击<strong>完成</strong>继续。	0	7		
