question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加本次调查。请点击<strong>下一步</strong>开始。	0	1		
instruction	对于下列每个陈述，请表明您是否同意。	0	2		
radio	我经常在行动前没有花足够的时间思考情况。	1	3	正确,错误	2,1
radio	我尽量避免那些需要不经多想就行动的活动。	1	3	正确,错误	1,2
radio	我不喜欢快速做决定（即使是简单的决定，比如选择穿什么或吃什么晚饭）。	1	3	正确,错误	1,2
radio	我喜欢缓慢且仔细地解决问题。	1	3	正确,错误	1,2
radio	我擅长利用突发机会，在必须立即行动否则错失机会的情况下。	1	3	正确,错误	2,1
radio	我会喜欢一份需要我做很多瞬间决定的工作。	1	3	正确,错误	2,1
radio	我经常不花时间从各个角度考虑情况就做决定。	1	3	正确,错误	2,1
radio	我经常因为无法足够快地做决定而错失机会。	1	3	正确,错误	1,2
radio	我经常不考虑后果就说话和做事。	1	3	正确,错误	2,1
radio	我经常不考虑自己是否能够遵守就安排约会。	1	3	正确,错误	2,1
radio	当我必须快速做决定时，我会感到不舒服。	1	3	正确,错误	1,2
radio	即使做不太困难的事情，我也不喜欢快速完成。	1	3	正确,错误	1,2
radio	我经常不考虑自己是否真的负担得起就买东西。	1	3	正确,错误	2,1
radio	我擅长仔细推理。	1	3	正确,错误	1,2
radio	我喜欢参与非常快节奏的对话，在这种对话中说话前没有太多时间思考。	1	3	正确,错误	2,1
radio	我喜欢需要快速选择下一步动作的运动和游戏。	1	3	正确,错误	2,1
radio	我制定的计划经常失败，因为我事先没有仔细考虑。	1	3	正确,错误	2,1
radio	我经常因为行动前不思考而遇到麻烦。	1	3	正确,错误	2,1
radio	大部分时间我都能很快地把想法用言语表达出来。	1	3	正确,错误	2,1
radio	人们因为我能快速思考而佩服我。	1	3	正确,错误	2,1
radio	我经常不经思考就说出脑海中浮现的任何想法。	1	3	正确,错误	2,1
radio	在做任何重要决定之前，我会仔细权衡利弊。	1	3	正确,错误	1,2
radio	我很少不先考虑潜在问题就参与项目。	1	3	正确,错误	1,2
instruction	恭喜您完成了本次调查！请点击<strong>完成</strong>继续。	0	4		
