question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加此项调查。请按<strong>下一步</strong>开始。	0	1		
instruction	在这个实验中，您将看到一系列彩票选择。您的任务是在每对彩票选择中指出您偏好哪个选项。	0	2		
radio	请在每对赌博选择中指出您的偏好。	1	3	10%概率赢得$100 <br> 90%概率赢得$80,10%概率赢得$190 <br> 90%概率赢得$5	1,2
radio	请在每对赌博选择中指出您的偏好。	1	3	20%概率赢得$100 <br> 80%概率赢得$80,20%概率赢得$190 <br> 80%概率赢得$5	1,2
radio	请在每对赌博选择中指出您的偏好。	1	3	30%概率赢得$100 <br> 70%概率赢得$80,30%概率赢得$190 <br> 70%概率赢得$5	1,2
radio	请在每对赌博选择中指出您的偏好。	1	3	40%概率赢得$100 <br> 60%概率赢得$80,40%概率赢得$190 <br> 60%概率赢得$5	1,2
radio	请在每对赌博选择中指出您的偏好。	1	3	50%概率赢得$100 <br> 50%概率赢得$80,50%概率赢得$190 <br> 50%概率赢得$5	1,2
radio	请在每对赌博选择中指出您的偏好。	1	3	60%概率赢得$100 <br> 40%概率赢得$80,60%概率赢得$190 <br> 40%概率赢得$5	1,2
radio	请在每对赌博选择中指出您的偏好。	1	3	70%概率赢得$100 <br> 30%概率赢得$80,70%概率赢得$190 <br> 30%概率赢得$5	1,2
radio	请在每对赌博选择中指出您的偏好。	1	3	80%概率赢得$100 <br> 20%概率赢得$80,80%概率赢得$190 <br> 20%概率赢得$5	1,2
radio	请在每对赌博选择中指出您的偏好。	1	3	90%概率赢得$100 <br> 10%概率赢得$80,90%概率赢得$190 <br> 10%概率赢得$5	1,2
radio	请在每对赌博选择中指出您的偏好。	1	3	100%概率赢得$100 <br> 0%概率赢得$80,100%概率赢得$190 <br> 0%概率赢得$5	1,2
instruction	恭喜您完成此项调查！请按<strong>完成</strong>继续。	0	4		
