question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加本次调查。请点击<strong>下一步</strong>开始。	0	1		
instruction	"以下问题询问您在过去30天内的感受。对于每个问题，请选择最能描述您有这种感受频率的选项。"	0	2		
instruction	"<h4>问题1：在过去30天里，您多久有以下感受？</h4>"	0	3		
radio	紧张？	1	3	一直都有, 大部分时间, 有时候, 偶尔, 从未有过	1,2,3,4,5
radio	绝望？	1	3	一直都有, 大部分时间, 有时候, 偶尔, 从未有过	1,2,3,4,5
radio	不安或坐立不安？	1	3	一直都有, 大部分时间, 有时候, 偶尔, 从未有过	1,2,3,4,5
radio	抑郁得什么都无法让您振作起来？	1	3	一直都有, 大部分时间, 有时候, 偶尔, 从未有过	1,2,3,4,5
radio	觉得做任何事情都很费劲？	1	3	一直都有, 大部分时间, 有时候, 偶尔, 从未有过	1,2,3,4,5
radio	觉得自己毫无价值？	1	3	一直都有, 大部分时间, 有时候, 偶尔, 从未有过	1,2,3,4,5
radio	"问题2：前六个问题询问了您在过去30天内可能的感受。综合考虑这些感受，在过去30天里，这些感受出现的频率是比平时更多、大致相同还是更少？（如果您从未有过这些感受，请选择“与平时相同”）"	1	3	非常多, 比较多<br><strong>比平时多<br></strong>, 略微多一些, 与平时相同, 略微少一些, 比较少<br><strong>比平时少<br></strong>, 非常少	1,2,3,4,5,6,7
instruction	"<h4>接下来的几个问题询问这些感受在过去30天里可能对您产生的影响。如果您对所有六个感受问题都回答“从未有过”，则无需回答这些问题。</h4>"	0	4		
numeric	"问题3：在过去30天里，因为这些感受，您有多少天完全无法工作或进行日常活动？<br><br><strong>（天数）</strong>"	0	4		
numeric	"问题4：不算您在问题3中报告的天数，在过去30天里，因为这些感受，您有多少天只能做到正常情况下一半或更少的事情？<br><br><strong>（天数）</strong>"	0	4		
numeric	"问题5：在过去30天里，您因为这些感受看了多少次医生或其他健康专业人士？<br><br><strong>（次数）</strong>"	0	4		
radio	"问题6：在过去30天里，身体健康问题多经常是这些感受的主要原因？"	0	4	一直都是, 大部分时间是, 有时是, 偶尔是, 从未是	1,2,3,4,5
checkbox	您是否患有或曾经被诊断出以下任何心理疾病（请选择所有适用的选项）？	1	5	注意力缺陷多动症(ADHD), 酒精依赖, 神经性厕食症, 焦虑症, 自闭症/自闭症谱系障碍, 边缘性人格障碍, 贪食症, 药物依赖, 抑郁症, 躁郁症(双相情感障碍), 强迫症, 精神分裂症, 其他, 无	
textfield	如果您在上述问题中选择了“其他”，请描述：	0	5		
radio	您是否被诊断出任何神经系统疾病（如阿尔茨海默病、帕金森病）？	1	5	是, 不是	1, 0
textfield	如果您在上述问题中选择了“是”，请描述：	0	5		
checkbox	您是否患有或曾经被诊断出以下任何疾病（请选择所有适用的选项）？	1	5	2型糖尿病, 代谢综合征, 高血压, 心脏病, 中风, 癌症, 睡眠呼吸暂停综合征, 其他, 无	
textfield	如果您在上述问题中选择了“其他”，请描述：	0	5		
instruction	恭喜您完成了这次调查！请点击<strong>完成</strong>继续。	0	6		
