question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参与本调查。请点击<strong>下一步</strong>开始。	0	1		
instruction	对于所有问题，请选择以下选项之一	0	2		
radio	当我看电视时，我经常换台，即使在试图观看一个节目时也会经常扫视可用的选项。	1	3	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	当我在车里听收音机时，我经常查看其他电台，看看是否有更好的节目在播放，即使我对正在听的内容相对满意。	1	3	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	我把人际关系当作衣服：我预期要试很多件才能找到完美合适的。 	1	3	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	无论我对工作有多满意，我都应该留意更好的机会。 	1	3	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	我经常幻想过与实际生活截然不同的生活方式。	1	3	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	我很喜欢那些试图排名事物的列表（最佳电影、最佳歌手、最佳运动员、最佳小说等）。	1	3	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	我经常发现为朋友挑选礼物很困难。 	1	4	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	购物时，我很难找到真正喜欢的衣服。 	1	4	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	租借视频真的很困难。我总是在努力挑选最好的那一个。	1	4	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	我发现写作很困难，即使只是给朋友写信也是如此，因为很难把措辞表达得恰到好处。即使是简单的事情我也经常要写好几遍草稿。	1	4	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	每当我面临选择时，我会尽力想象所有其他可能性，甚至包括目前不存在的选择。	1	4	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	无论我做什么，我都对自己有最高的标准。	1	4	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	我从不满足于第二好的选择。 	1	5	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	无论需要付出什么代价，我总是试图选择最好的东西。	1	5	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	我不喜欢不得不满足于"够好就行"。	1	5	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	我是一个追求完美者。	1	5	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	无论需要多长时间，我都会等待最好的选择。	1	5	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
radio	我从不将就。 	1	5	非常同意：1,不同意：2,既不同意也不反对：3,同意：4,非常同意：5	1,2,3,4,5
instruction	恭喜您完成本调查！请点击<strong>完成</strong>继续。	0	6		
