question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参与本调查。点击<strong>下一步</strong>开始。	0	1		
instruction	"研究人员进行了两个实验。在第一个实验中，他们让学生将长版问卷带回家，并在下次课堂会议时返回。另一方面，在第二个实验中，由于时间和空间的限制，他们选择了最好的10个项目。注意每个实验的参与者是不同的。
"	0	2		
radio	我宁愿做一些不需要太多思考的事情，也不愿做肯定会挑战我思维能力的事情。 	1	3	完全错误: 1,2,3,4,完全正确: 5	5,4,3,2,1
radio	我不喜欢承担处理需要大量思考的情况的责任。 	1	3	完全错误: 1,2,3,4,完全正确: 5	5,4,3,2,1
radio	我更喜欢复杂的问题而不是简单的问题。	1	3	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	我试图预料并避免可能需要深入思考某事的情况	1	3	完全错误: 1,2,3,4,完全正确: 5	5,4,3,2,1
radio	我在艰难和长时间的思考中几乎找不到满足感。	1	3	完全错误: 1,2,3,4,完全正确: 5	5,4,3,2,1
radio	思考不是我认为的乐趣。	1	3	完全错误: 1,2,3,4,完全正确: 5	5,4,3,2,1
radio	抽象思考的概念对我没有吸引力	1	3	完全错误: 1,2,3,4,完全正确: 5	5,4,3,2,1
radio	我希望我的生活充满我必须解决的谜题。	1	4	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	对我来说，仅仅知道答案而不理解问题答案的原因就足够了。	1	4	完全错误: 1,2,3,4,完全正确: 5	5,4,3,2,1
radio	我在压力下不能很好地推理。 	1	4	完全错误: 1,2,3,4,完全正确: 5	5,4,3,2,1
radio	依靠思考达到顶峰的想法对我没有吸引力。 	1	4	完全错误: 1,2,3,4,完全正确: 5	5,4,3,2,1
radio	我更喜欢谈论国际问题，而不是闲聊或谈论名人。 	1	4	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	学习新的思维方式对我没有太大的兴奋作用。	1	4	完全错误: 1,2,3,4,完全正确: 5	5,4,3,2,1
radio	我更喜欢一个智力性、困难的和重要的任务，而不是一个有些重要但不需要太多思考的任务。	1	4	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	我通常更喜欢接受事物的现状，而不是质疑它们。 	1	5	完全错误: 1,2,3,4,完全正确: 5	5,4,3,2,1
radio	对我来说，只要能完成工作就足够了，我不在乎它是如何或为什么能起作用的。 	1	5	完全错误: 1,2,3,4,完全正确: 5	5,4,3,2,1
radio	我倾向于设定只有通过花费大量精神努力才能实现的目标。 	1	5	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	我在新的和不熟悉的情况下思考有困难。	1	5	完全错误: 1,2,3,4,完全正确: 5	5,4,3,2,1
radio	在完成一个需要大量精神努力的任务后，我感到的是如释重负而不是满足。 	1	5	完全错误: 1,2,3,4,完全正确: 5	5,4,3,2,1
radio	我对人的初印象几乎总是正确的。	1	5	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	我相信我对人的初始感觉。	1	5	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	在信任人方面，我通常可以依靠我的“直觉”。	1	6	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	我相信信任我的直觉	1	6	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	即使我不能解释我是如何知道的，我通常都能感觉到一个人是对的还是错的。 	1	6	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	我是一个非常有直觉的人。	1	6	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	我通常能立即感觉到一个人在说谎。	1	6	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	我很快就对人形成印象。	1	6	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	我相信我可以从一个人的外表相当好地判断品格。	1	6	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	我经常对事物有清晰的视觉形象	1	7	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	我有非常好的韵律感。 	1	7	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
radio	我善于想象事物。	1	7	完全错误: 1,2,3,4,完全正确: 5	1,2,3,4,5
instruction	恭喜您完成了这项调查！点击<strong>完成</strong>继续。	0	8		
