question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加本次调查。请点击<strong>下一步</strong>开始。	0	1		
instruction	请思考您自己通常的感受状态，您一般在多大程度上感到：	0	2		
radio	坚定的	1	3	一点也不或几乎没有: 1,一点点:2, 中等程度:3,相当多: 4,极度: 5	1,2,3,4,5
radio	专注的	1	3	一点也不或几乎没有: 1,一点点:2, 中等程度:3,相当多: 4,极度: 5	1,2,3,4,5
radio	警觉的	1	3	一点也不或几乎没有: 1,一点点:2, 中等程度:3,相当多: 4,极度: 5	1,2,3,4,5
radio	有灵感的	1	3	一点也不或几乎没有: 1,一点点:2, 中等程度:3,相当多: 4,极度: 5	1,2,3,4,5
radio	活跃的	1	3	一点也不或几乎没有: 1,一点点:2, 中等程度:3,相当多: 4,极度: 5	1,2,3,4,5
radio	恐惧的	1	4	一点也不或几乎没有: 1,一点点:2, 中等程度:3,相当多: 4,极度: 5	1,2,3,4,5
radio	紧张的	1	4	一点也不或几乎没有: 1,一点点:2, 中等程度:3,相当多: 4,极度: 5	1,2,3,4,5
radio	沮丧的	1	4	一点也不或几乎没有: 1,一点点:2, 中等程度:3,相当多: 4,极度: 5	1,2,3,4,5
radio	羞愧的	1	4	一点也不或几乎没有: 1,一点点:2, 中等程度:3,相当多: 4,极度: 5	1,2,3,4,5
radio	敌对的	1	4	一点也不或几乎没有: 1,一点点:2, 中等程度:3,相当多: 4,极度: 5	1,2,3,4,5
instruction	恭喜您完成本次调查！请点击<strong>完成</strong>继续。	0	5		
