question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加此调查。请点击<strong>下一步</strong>开始。	0	1		
instruction	"此量表包含一系列描述不同感受和情绪的词汇。请阅读每个项目，然后在该词汇旁边选择合适的答案。请说明你的感受程度[在此插入适当的时间说明]。使用的时间尺度：
此刻（你现在就是这样感受的，也就是在当前这一时刻）
今天（你今天有这样的感受）
过去几天（你在过去几天中有这样的感受）
一周（你在过去一周中有这样的感受）
过去几周（你在过去几周中有这样的感受）
一年（你在过去一年中有这样的感受）
一般情况（你通常有这样的感受，也就是你平均的感受）
"	0	2		
radio	兴趣盎然	1	3	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	痛苦不堪	1	3	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	兴奋激动	1	3	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	心烦意乱	1	3	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	强健有力	1	3	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	内疆感	1	3	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	恐惧害怕	1	4	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	敌意怨恨	1	4	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	热情洋溢	1	4	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	骄傲自豪	1	4	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	易怒焦躁	1	4	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	警觉敏锐	1	4	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	羞耻难堪	1	5	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	备受鼓舞	1	5	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	紧张不安	1	5	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	意志坚定	1	5	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	专注认真	1	5	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	心惊肉跳	1	5	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	积极活跃	1	6	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
radio	害怕恐惧	1	6	几乎没有或完全没有: 1,稍微有一点: 2,适度: 3,相当多: 4,极其强烈: 5	1,2,3,4,5
instruction	恭喜您完成了此调查！请点击<strong>完成</strong>继续。	0	7		
