question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加此调查。请按 <strong>下一步</strong> 开始。	0	1		
instruction	对于以下每个陈述，请表明您是否同意，以及同意的程度。	0	2		
radio	我相信把工作做好本身就是一种回报。	1	3	非常不同意: 0,不同意: 1,同意: 2,非常同意: 3	0,1,2,3
radio	即使在这个快速变化的世界中，真诚、勤奋和正直仍然是工作生活中成功的黄金钥匙。	1	3	非常不同意: 0,不同意: 1,同意: 2,非常同意: 3	0,1,2,3
radio	我认为我的职业生涯是我生活中最重要的活动之一。	1	3	非常不同意: 0,不同意: 1,同意: 2,非常同意: 3	0,1,2,3
radio	我相信一个人在社会中是通过他所做的工作而被人所知的。	1	3	非常不同意: 0,不同意: 1,同意: 2,非常同意: 3	0,1,2,3
radio	我感到有道德义务为一整天的工资付出一整天的工作。	1	3	非常不同意: 0,不同意: 1,同意: 2,非常同意: 3	0,1,2,3
radio	我欢迎涉及更大责任和挑战的工作，因为它们有助于我的学习和成长。	1	3	非常不同意: 0,不同意: 1,同意: 2,非常同意: 3	0,1,2,3
radio	我认为除非有真正的紧急情况，否则不应该上班迟到。	1	4	非常不同意: 0,不同意: 1,同意: 2,非常同意: 3	0,1,2,3
radio	我相信工作提供了表达个人知识、能力和创造力的强有力渠道。	1	4	非常不同意: 0,不同意: 1,同意: 2,非常同意: 3	0,1,2,3
radio	我相信个人的工作为实现生活中的完美提供了最好的来源。	1	4	非常不同意: 0,不同意: 1,同意: 2,非常同意: 3	0,1,2,3
radio	即使我不必为了谋生而工作，我仍然愿意继续工作。	1	4	非常不同意: 0,不同意: 1,同意: 2,非常同意: 3	0,1,2,3
instruction	恭喜您完成了此调查！请按 <strong>完成</strong> 继续。	0	5		
