question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参与此调查。请点击<strong>下一步</strong>开始。	0	1		
instruction	请选择以下哪个陈述更符合您的情况。	0	2		
radio	请选择以下两个陈述中哪个更符合您的情况。	1	3	我将所有精力集中在几件事上, 我将精力分散到许多事情上	1,0
radio	请选择以下两个陈述中哪个更符合您的情况。	1	3	我总是在特定时间专注于一个最重要的目标, 我总是同时处理几个目标	1,0
radio	请选择以下两个陈述中哪个更符合您的情况。	1	3	即使我真正考虑生活中想要什么时，我也会等等看会发生什么，而不是专注于一两个特定目标, 当我思考生活中想要什么时，我会专注于一两个重要目标	0,1
radio	请选择以下两个陈述中哪个更符合您的情况。	1	3	为了实现某个特定目标，我不愿意放弃其他目标, 为了实现某个特定目标，我愿意放弃其他目标	0,1
radio	请选择以下两个陈述中哪个更符合您的情况。	1	3	"我总是一个接一个地追求目标,
我总是同时追求许多目标，以至于容易陷入困境"	1,0
radio	请选择以下两个陈述中哪个更符合您的情况。	1	3	"我确切知道我想要什么和不想要什么,
我通常只有在某种情况下才知道我想要什么"	1,0
radio	请选择以下两个陈述中哪个更符合您的情况。	1	3	当我决定一个目标时我会坚持下去, 我随时都可以改变目标	1,0
radio	请选择以下两个陈述中哪个更符合您的情况。	1	3	"我总是同时处理几个目标, 我总是将注意力集中在最重要的目标上
"	0,1
radio	请选择以下两个陈述中哪个更符合您的情况。	1	3	"我会做重要的人生决定,
我不喜欢对具体的人生决定做出承诺"	1,0
radio	请选择以下两个陈述中哪个更符合您的情况。	1	3	"我会仔细考虑什么对我重要,
我顺其自然，然后继续前进"	1,0
radio	请选择以下两个陈述中哪个更符合您的情况。	1	3	"我在生活中没有许多同等重要的目标,
我在生活中有许多同等重要的目标"	1,0
radio	请选择以下两个陈述中哪个更符合您的情况。	1	3	我经常根据小的变化调整目标, 我已经明确地设定了目标并坚持下去	0,1
radio	请选择以下两个陈述中哪个更符合您的情况。	1	4	"当情况不像以前那么顺利时，我会选择一两个重要目标,
当情况不像以前那么顺利时，我仍然试图保持所有目标"	1,0
radio	请选择以下两个陈述中哪个更符合您的情况。	1	4	当我无法像以前那样做某件重要的事情时，我会将时间和精力分配到许多其他事情上, 当我无法像以前那样做某件重要的事情时，我会寻找一个新目标	0,1
radio	请选择以下两个陈述中哪个更符合您的情况。	1	4	当我无法像以前那样做某件事时，我会等着看会发生什么, 当我无法像以前那样做某件事时，我会思考什么对我真正重要	0,1
