question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加本次调查。点击<strong>下一步</strong>开始。	0	1		
instruction	本问卷旨在了解您对意志力的看法。意志力是您用来抵制诱惑、坚持意图以及保持艰苦脑力活动的能力。没有对错答案，我们只是对您的观点感兴趣。请使用量表，通过在每个陈述下方选择符合您意见的选项，来表示您对以下每个陈述的同意或不同意程度。	0	2		
radio	艰苦的脑力活动会耗尽您的资源，之后您需要补充（例如通过休息、无所事事、看电视、吃零食）。	1	3	非常同意,比较同意,略微同意,略微不同意,比较不同意,非常不同意	6,5,4,3,2,1
radio	在艰苦的脑力活动之后，您的精力被耗尽，必须休息才能重新补充。	1	3	非常同意,比较同意,略微同意,略微不同意,比较不同意,非常不同意	6,5,4,3,2,1
radio	当您从事了艰苦的脑力工作后，您会感到精力充沛，能够立即开始另一项艰难的活动。	1	3	非常同意,比较同意,略微同意,略微不同意,比较不同意,非常不同意	1,2,3,4,5,6
radio	您的心理耐力会自我补充。即使在艰苦的脑力消耗之后，您也可以继续进行更多此类活动。	1	3	非常同意,比较同意,略微同意,略微不同意,比较不同意,非常不同意	1,2,3,4,5,6
radio	当您完成一项艰苦的脑力活动后，您无法立即以同样的专注度开始另一项活动，因为您必须重新恢复您的脑力。	1	3	非常同意,比较同意,略微同意,略微不同意,比较不同意,非常不同意	6,5,4,3,2,1
radio	在艰苦的脑力活动之后，您会为进一步的挑战性活动感到精力充沛。	1	3	非常同意,比较同意,略微同意,略微不同意,比较不同意,非常不同意	1,2,3,4,5,6
radio	抵制诱惑会让您对接下来的诱惑感到更加脆弱。	1	4	非常同意,比较同意,略微同意,略微不同意,比较不同意,非常不同意	6,5,4,3,2,1
radio	当挑战您的诱惑情况不断积累时，抵制诱惑变得越来越困难。	1	4	非常同意,比较同意,略微同意,略微不同意,比较不同意,非常不同意	6,5,4,3,2,1
radio	如果您刚刚抵制了一个强烈的诱惑，您会感到更加强大，可以承受任何新的诱惑。	1	4	非常同意,比较同意,略微同意,略微不同意,比较不同意,非常不同意	1,2,3,4,5,6
radio	在抵制了一个诱惑之后，立即去抵制另一个诱惑是特别困难的。	1	4	非常同意,比较同意,略微同意,略微不同意,比较不同意,非常不同意	6,5,4,3,2,1
radio	抵制诱惑会激活您的意志力，您会变得更能够应对即将到来的新诱惑。	1	4	非常同意,比较同意,略微同意,略微不同意,比较不同意,非常不同意	1,2,3,4,5,6
radio	您抵制诱惑的能力是无限的。即使在您抵制了一个强烈的诱惑之后，您也可以立即控制自己。	1	4	非常同意,比较同意,略微同意,略微不同意,比较不同意,非常不同意	1,2,3,4,5,6
instruction	恭喜您完成了这个调查！点击<strong>结束</strong>继续。	0	5		
