question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加本问卷调查。请点击<strong>下一步</strong>开始。	0	1		
instruction	请通过圈选最能反映您对以下每个陈述的同意或不同意程度的数字来回答下面的每个陈述。不要过多地思考陈述的确切含义。请快速回答，并尽可能准确地回答。没有对错答案。每个陈述都有七种可能的回答，从"完全不同意"（数字1）到"完全同意"（数字7）。	0	2		
radio	用言语表达我的情感对我来说不是问题。	1	3	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
radio	我经常发现很难从别人的角度看问题。	1	3	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	总的来说，我是一个很有动力的人。	1	3	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
radio	我通常发现很难调节自己的情绪。	1	3	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	总的来说，我觉得生活并不愉快。	1	3	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	我能够有效地与人打交道。	1	3	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
radio	我倾向于经常改变主意。	1	4	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	很多时候，我无法弄清楚自己的感受是什么。	1	4	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	我觉得自己有很多优秀的品质。	1	4	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
radio	我经常发现很难为自己的权利挺身而出。	1	4	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	我通常能够影响他人的感受。	1	4	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
radio	总的来说，我对大多数事情都持悲观的态度。	1	4	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	我身边的人经常抱怨我对他们不好。	1	5	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	我经常发现很难根据情况调整自己的生活。	1	5	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	总的来说，我能够应对压力。	1	5	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
radio	我经常发现很难向身边的人表达我的感情。	1	5	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	我通常能够设身处地为他人着想并体验他们的情感。	1	5	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
radio	我通常发现很难保持自己的动力。	1	5	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	当我想要控制自己的情绪时，我通常能够找到方法。	1	6	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
radio	总的来说，我对自己的生活感到满意。	1	6	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
radio	我认为自己是一个善于协商的人。	1	6	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
radio	我倾向于参与一些后来希望能够摆脱的事情。	1	6	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	我经常停下来思考自己的感受。	1	6	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
radio	我相信自己充满了个人优势。	1	6	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
radio	即使我知道自己是对的，我也倾向于退让。	1	7	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	我似乎对他人的感受没有任何影响力。	1	7	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
radio	我通常相信我的生活会一切顺利。	1	7	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	我发现即使与身边的人也很难建立良好的关系。	1	7	完全不同意: 1,2,3,4,5,6,完全同意: 7	7,6,5,4,3,2,1
radio	总的来说，我能够适应新环境。	1	7	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
radio	别人钦佩我的轻松从容。	1	7	完全不同意: 1,2,3,4,5,6,完全同意: 7	1,2,3,4,5,6,7
instruction	恭喜您完成了本问卷调查！请按<strong>完成</strong>继续。	0	8		
